"prompt","model","W","V","coef","t","lci","uci"
4,"gpt-4o-2024-05-13","Senate","Government Operations",0.2811993517,21.96494802181,0.25610752807,0.30629117533
4,"gpt-4o-2024-05-13","Senate","Public Lands & Water Management",0.38653846154,25.59110444977,0.35693436748,0.4161425556
5,"gpt-4o-2024-05-13","Senate","Health",0.32474226804,19.31235162249,0.29178495854,0.35769957754
5,"gpt-4o-2024-05-13","Senate","Banking, Finance & Domestic Commerce",0.31189320388,19.32005287347,0.28025253237,0.3435338754
5,"gpt-4o-2024-05-13","Senate","Defense",0.28993055556,15.33124753894,0.25286550619,0.32699560492
5,"gpt-4o-2024-05-13","Senate","Government Operations",0.28650793651,22.48685400166,0.26153578003,0.31148009299
5,"gpt-4o-2024-05-13","Senate","Public Lands & Water Management",0.38491295938,25.42979857069,0.35524636429,0.41457955448
6,"gpt-4o-2024-05-13","Senate","Health",0.32379713914,19.18363241652,0.29071525365,0.35687902464
6,"gpt-4o-2024-05-13","Senate","Banking, Finance & Domestic Commerce",0.304400978,18.9142822149,0.27285788548,0.33594407051
6,"gpt-4o-2024-05-13","Senate","Defense",0.29655172414,15.63211751617,0.25936989652,0.33373355176
6,"gpt-4o-2024-05-13","Senate","Government Operations",0.29146537842,22.59661674193,0.26618452992,0.31674622692
6,"gpt-4o-2024-05-13","Senate","Public Lands & Water Management",0.386756238,25.62746364049,0.35717748968,0.41633498633
7,"gpt-4o-2024-05-13","Senate","Health",0.32421875,19.18961568893,0.29110411741,0.35733338259
7,"gpt-4o-2024-05-13","Senate","Banking, Finance & Domestic Commerce",0.30913348946,19.54225003092,0.27812935714,0.34013762178
7,"gpt-4o-2024-05-13","Senate","Defense",0.29401709402,15.60403095621,0.25708670618,0.33094748186
7,"gpt-4o-2024-05-13","Senate","Government Operations",0.29130434783,23.80963922964,0.2673247308,0.31528396485
7,"gpt-4o-2024-05-13","Senate","Public Lands & Water Management",0.38561438561,25.05779233588,0.35545249834,0.41577627289
8,"gpt-4o-2024-05-13","Senate","Health",0.32077922078,19.06394021297,0.28779990419,0.35375853737
8,"gpt-4o-2024-05-13","Senate","Banking, Finance & Domestic Commerce",0.31403940887,19.27481328805,0.28210623671,0.34597258103
8,"gpt-4o-2024-05-13","Senate","Defense",0.29015544041,15.37951657,0.25317806141,0.32713281942
8,"gpt-4o-2024-05-13","Senate","Government Operations",0.28530050688,23.4723215733,0.26147760907,0.30912340469
8,"gpt-4o-2024-05-13","Senate","Public Lands & Water Management",0.38578680203,24.86576922878,0.35537840281,0.41619520125
9,"gpt-4o-2024-05-13","Senate","Health",0.31865284974,18.99559949041,0.28577428177,0.35153141772
9,"gpt-4o-2024-05-13","Senate","Banking, Finance & Domestic Commerce",0.30989272944,19.4043028898,0.27859149733,0.34119396155
9,"gpt-4o-2024-05-13","Senate","Defense",0.29513888889,15.52538426739,0.25787980514,0.33239797264
9,"gpt-4o-2024-05-13","Senate","Government Operations",0.29366197183,24.29021761912,0.26996655265,0.31735739101
9,"gpt-4o-2024-05-13","Senate","Public Lands & Water Management",0.38415841584,25.0929100554,0.35415246365,0.41416436803
10,"gpt-4o-2024-05-13","Senate","Health",0.32669322709,19.10868206281,0.29318453419,0.36020192
10,"gpt-4o-2024-05-13","Senate","Banking, Finance & Domestic Commerce",0.31038798498,18.95802550464,0.27829871115,0.34247725882
10,"gpt-4o-2024-05-13","Senate","Defense",0.29586563307,18.02850202146,0.26370067647,0.32803058968
10,"gpt-4o-2024-05-13","Senate","Government Operations",0.28820116054,20.45498506796,0.26058618585,0.31581613523
10,"gpt-4o-2024-05-13","Senate","Public Lands & Water Management",0.38314944835,24.87776581347,0.35296349334,0.41333540335
11,"gpt-4o-2024-05-13","Senate","Health",0.32164449819,19.79619918866,0.28979941387,0.3534895825
11,"gpt-4o-2024-05-13","Senate","Banking, Finance & Domestic Commerce",0.30461165049,18.992967634,0.27317749676,0.33604580421
11,"gpt-4o-2024-05-13","Senate","Defense",0.3010130246,17.24514293549,0.26680196069,0.33522408851
11,"gpt-4o-2024-05-13","Senate","Government Operations",0.28952205882,21.04988125018,0.26256452869,0.31647958895
11,"gpt-4o-2024-05-13","Senate","Public Lands & Water Management",0.37895812053,24.43409081079,0.3485602525,0.40935598856
12,"gpt-4o-2024-05-13","Senate","Health",0.33511348465,19.42373618306,0.30129865343,0.36892831586
12,"gpt-4o-2024-05-13","Senate","Banking, Finance & Domestic Commerce",0.32598425197,17.51942399994,0.28951516523,0.3624533387
12,"gpt-4o-2024-05-13","Senate","Defense",0.27829698858,19.2645030707,0.2499831477,0.30661082946
12,"gpt-4o-2024-05-13","Senate","Government Operations",0.29770387965,23.13148211232,0.27247899871,0.32292876059
12,"gpt-4o-2024-05-13","Senate","Public Lands & Water Management",0.38512869399,25.62525771926,0.35567188314,0.41458550485
1,"gpt-3.5-turbo-0125","Democrat","Health",0.61574074074,26.30257818688,0.56985817869,0.66162330279
1,"gpt-3.5-turbo-0125","Democrat","Banking, Finance & Domestic Commerce",0.59741935484,33.90265594505,0.5628816354,0.63195707427
1,"gpt-3.5-turbo-0125","Democrat","Defense",0.57672849916,28.41667180817,0.53695019243,0.61650680588
1,"gpt-3.5-turbo-0125","Democrat","Government Operations",0.59565807327,32.94029957729,0.5602161257,0.63110002084
1,"gpt-3.5-turbo-0125","Democrat","Public Lands & Water Management",0.58214285714,34.19874641577,0.54877967418,0.61550604011
2,"gpt-3.5-turbo-0125","Democrat","Health",0.60835913313,31.66809551454,0.57070729549,0.64601097076
2,"gpt-3.5-turbo-0125","Democrat","Banking, Finance & Domestic Commerce",0.56776947705,35.07258468581,0.5360407711,0.59949818301
2,"gpt-3.5-turbo-0125","Democrat","Defense",0.57676348548,31.37950839415,0.54073884019,0.61278813076
2,"gpt-3.5-turbo-0125","Democrat","Government Operations",0.59411764706,35.26267682425,0.56109550309,0.62713979103
2,"gpt-3.5-turbo-0125","Democrat","Public Lands & Water Management",0.59251336898,36.86106446497,0.56100844962,0.62401828835
3,"gpt-3.5-turbo-0125","Democrat","Health",0.61371237458,30.8139452604,0.57467634265,0.65274840651
3,"gpt-3.5-turbo-0125","Democrat","Banking, Finance & Domestic Commerce",0.5670212766,35.07518733499,0.53533673362,0.59870581957
3,"gpt-3.5-turbo-0125","Democrat","Defense",0.57656458056,31.96833585729,0.54121567101,0.61191349011
3,"gpt-3.5-turbo-0125","Democrat","Government Operations",0.59519038076,38.29459520327,0.56472781277,0.62565294876
3,"gpt-3.5-turbo-0125","Democrat","Public Lands & Water Management",0.58736842105,36.76254263264,0.5560533686,0.61868347351
4,"gpt-3.5-turbo-0125","Democrat","Health",0.62437395659,31.54478892693,0.58557989553,0.66316801766
4,"gpt-3.5-turbo-0125","Democrat","Banking, Finance & Domestic Commerce",0.57204301075,35.24726526332,0.54023391322,0.60385210829
4,"gpt-3.5-turbo-0125","Democrat","Defense",0.58126721763,31.73638211895,0.54536952748,0.61716490779
4,"gpt-3.5-turbo-0125","Democrat","Government Operations",0.58682634731,34.42717623867,0.55341789992,0.62023479469
4,"gpt-3.5-turbo-0125","Democrat","Public Lands & Water Management",0.57908163265,32.83209988761,0.54451244128,0.61365082402
5,"gpt-3.5-turbo-0125","Democrat","Health",0.62781954887,29.9478829457,0.58673137891,0.66890771884
5,"gpt-3.5-turbo-0125","Democrat","Banking, Finance & Domestic Commerce",0.58267716535,35.22074013772,0.55025234253,0.61510198818
5,"gpt-3.5-turbo-0125","Democrat","Defense",0.58172458172,32.86303874708,0.54703030899,0.61641885446
5,"gpt-3.5-turbo-0125","Democrat","Government Operations",0.59423274974,37.69806710498,0.5633379353,0.62512756418
5,"gpt-3.5-turbo-0125","Democrat","Public Lands & Water Management",0.58897818599,35.31798512351,0.5562929683,0.62166340369
6,"gpt-3.5-turbo-0125","Democrat","Health",0.62377850163,31.89681027356,0.58544917067,0.66210783259
6,"gpt-3.5-turbo-0125","Democrat","Banking, Finance & Domestic Commerce",0.57516339869,35.24322730354,0.54317712408,0.6071496733
6,"gpt-3.5-turbo-0125","Democrat","Defense",0.57605633803,31.05111882149,0.53969533983,0.61241733623
6,"gpt-3.5-turbo-0125","Democrat","Government Operations",0.5867768595,37.0639348154,0.55574773328,0.61780598572
6,"gpt-3.5-turbo-0125","Democrat","Public Lands & Water Management",0.58863636364,35.47493457958,0.55611463847,0.6211580888
7,"gpt-3.5-turbo-0125","Democrat","Health",0.6251788269,34.13487629082,0.58928216876,0.66107548503
7,"gpt-3.5-turbo-0125","Democrat","Banking, Finance & Domestic Commerce",0.57728337237,34.14038910764,0.54414213853,0.6104246062
7,"gpt-3.5-turbo-0125","Democrat","Defense",0.5832083958,30.54112230745,0.54578123645,0.62063555515
7,"gpt-3.5-turbo-0125","Democrat","Government Operations",0.59793814433,36.02122579386,0.56540351504,0.63047277362
7,"gpt-3.5-turbo-0125","Democrat","Public Lands & Water Management",0.58602711157,36.83425416784,0.55484439704,0.6172098261
8,"gpt-3.5-turbo-0125","Democrat","Health",0.62314540059,33.37393438094,0.58654969904,0.65974110215
8,"gpt-3.5-turbo-0125","Democrat","Banking, Finance & Domestic Commerce",0.58845208845,34.10572046385,0.55463533032,0.62226884659
8,"gpt-3.5-turbo-0125","Democrat","Defense",0.58762886598,28.78979663006,0.54762401883,0.62763371313
8,"gpt-3.5-turbo-0125","Democrat","Government Operations",0.59293873313,37.44189635356,0.56190027954,0.62397718671
8,"gpt-3.5-turbo-0125","Democrat","Public Lands & Water Management",0.57857142857,36.66901245706,0.54764670258,0.60949615456
9,"gpt-3.5-turbo-0125","Democrat","Health",0.61890694239,33.14829272908,0.58231274049,0.6555011443
9,"gpt-3.5-turbo-0125","Democrat","Banking, Finance & Domestic Commerce",0.58971291866,34.65366804594,0.55635956397,0.62306627335
9,"gpt-3.5-turbo-0125","Democrat","Defense",0.58024691358,29.92034837797,0.54223722738,0.61825659978
9,"gpt-3.5-turbo-0125","Democrat","Government Operations",0.59733036707,36.5075237156,0.5652617443,0.62939898985
9,"gpt-3.5-turbo-0125","Democrat","Public Lands & Water Management",0.58148505304,37.94659761437,0.55145100959,0.61151909649
10,"gpt-3.5-turbo-0125","Democrat","Health",0.6387283237,34.96744094726,0.60292689024,0.67452975716
10,"gpt-3.5-turbo-0125","Democrat","Banking, Finance & Domestic Commerce",0.56916578669,35.35973186755,0.53761734489,0.6007142285
10,"gpt-3.5-turbo-0125","Democrat","Defense",0.5797833935,43.70094612751,0.55378041941,0.6057863676
10,"gpt-3.5-turbo-0125","Democrat","Government Operations",0.6169544741,32.02143207752,0.57919199844,0.65471694975
10,"gpt-3.5-turbo-0125","Democrat","Public Lands & Water Management",0.60107095047,33.53860633308,0.56594494066,0.63619696028
11,"gpt-3.5-turbo-0125","Democrat","Health",0.64216366158,35.95985628922,0.60716303091,0.67716429225
11,"gpt-3.5-turbo-0125","Democrat","Banking, Finance & Domestic Commerce",0.56963087248,39.708547825,0.54151460897,0.597747136
11,"gpt-3.5-turbo-0125","Democrat","Defense",0.57446808511,42.88293331851,0.54821202774,0.60072414247
11,"gpt-3.5-turbo-0125","Democrat","Government Operations",0.60802069858,34.61680919074,0.57359526484,0.64244613232
11,"gpt-3.5-turbo-0125","Democrat","Public Lands & Water Management",0.59976798144,35.93014993293,0.56705106696,0.63248489592
12,"gpt-3.5-turbo-0125","Democrat","Health",0.63862559242,38.60871601246,0.60620588801,0.67104529683
12,"gpt-3.5-turbo-0125","Democrat","Banking, Finance & Domestic Commerce",0.56266907124,37.76216375069,0.53346494188,0.59187320059
12,"gpt-3.5-turbo-0125","Democrat","Defense",0.59203606311,43.93613947672,0.56562570082,0.6184464254
12,"gpt-3.5-turbo-0125","Democrat","Government Operations",0.62613981763,40.64520359907,0.59594655045,0.65633308481
12,"gpt-3.5-turbo-0125","Democrat","Public Lands & Water Management",0.59405940594,36.46156546416,0.56212619009,0.62599262179
1,"gpt-4o-2024-05-13","Democrat","Health",0.65130759651,38.71678385588,0.61833638081,0.68427881222
1,"gpt-4o-2024-05-13","Democrat","Banking, Finance & Domestic Commerce",0.57803468208,34.41250569118,0.54511272142,0.61095664274
1,"gpt-4o-2024-05-13","Democrat","Defense",0.57757296467,29.82550064504,0.53961812117,0.61552780817
1,"gpt-4o-2024-05-13","Democrat","Government Operations",0.59531772575,41.93267599024,0.56749213928,0.62314331223
1,"gpt-4o-2024-05-13","Democrat","Public Lands & Water Management",0.58195679797,33.08962373289,0.54748634361,0.61642725232
2,"gpt-4o-2024-05-13","Democrat","Health",0.64165588616,37.19292832905,0.60784240376,0.67546936855
2,"gpt-4o-2024-05-13","Democrat","Banking, Finance & Domestic Commerce",0.58816568047,34.728545887,0.55497155958,0.62135980137
2,"gpt-4o-2024-05-13","Democrat","Defense",0.59336823735,28.9073633639,0.55313695232,0.63359952237
2,"gpt-4o-2024-05-13","Democrat","Government Operations",0.59985207101,45.00593751751,0.57372910768,0.62597503433
2,"gpt-4o-2024-05-13","Democrat","Public Lands & Water Management",0.58250497018,37.45353598921,0.55202216709,0.61298777326
3,"gpt-4o-2024-05-13","Democrat","Health",0.64721141375,37.59782155963,0.61347246269,0.6809503648
3,"gpt-4o-2024-05-13","Democrat","Banking, Finance & Domestic Commerce",0.58208955224,33.45422587016,0.54798699782,0.61619210665
3,"gpt-4o-2024-05-13","Democrat","Defense",0.60276338515,29.63178063293,0.56289421425,0.64263255605
3,"gpt-4o-2024-05-13","Democrat","Government Operations",0.5996978852,44.52316010416,0.57329845052,0.62609731987
3,"gpt-4o-2024-05-13","Democrat","Public Lands & Water Management",0.59113300493,38.29607548549,0.56087926783,0.62138674203
4,"gpt-4o-2024-05-13","Democrat","Health",0.64524421594,37.60596942284,0.61161510216,0.67887332972
4,"gpt-4o-2024-05-13","Democrat","Banking, Finance & Domestic Commerce",0.58304696449,34.92890683113,0.55033047963,0.61576344936
4,"gpt-4o-2024-05-13","Democrat","Defense",0.58676207513,28.16478941463,0.5459297963,0.62759435397
4,"gpt-4o-2024-05-13","Democrat","Government Operations",0.59724473258,42.76444124515,0.56987203386,0.62461743129
4,"gpt-4o-2024-05-13","Democrat","Public Lands & Water Management",0.58653846154,38.39874513454,0.55660013267,0.61647679041
5,"gpt-4o-2024-05-13","Democrat","Health",0.64948453608,37.90804167363,0.61590415991,0.68306491225
5,"gpt-4o-2024-05-13","Democrat","Banking, Finance & Domestic Commerce",0.58495145631,34.06777297617,0.55129842628,0.61860448634
5,"gpt-4o-2024-05-13","Democrat","Defense",0.59201388889,28.90175216657,0.55186663782,0.63216113996
5,"gpt-4o-2024-05-13","Democrat","Government Operations",0.60238095238,43.67741931575,0.5753499375,0.62941196727
5,"gpt-4o-2024-05-13","Democrat","Public Lands & Water Management",0.58704061896,38.32748743667,0.55702095037,0.61706028754
6,"gpt-4o-2024-05-13","Democrat","Health",0.64629388817,37.47370078782,0.61249117539,0.68009660094
6,"gpt-4o-2024-05-13","Democrat","Banking, Finance & Domestic Commerce",0.58312958435,33.81647416462,0.54933206371,0.616927105
6,"gpt-4o-2024-05-13","Democrat","Defense",0.58793103448,28.75821381666,0.54786165951,0.62800040946
6,"gpt-4o-2024-05-13","Democrat","Government Operations",0.60144927536,43.28009166517,0.57421229705,0.62868625368
6,"gpt-4o-2024-05-13","Democrat","Public Lands & Water Management",0.58925143954,38.65145374544,0.55937128013,0.61913159895
7,"gpt-4o-2024-05-13","Democrat","Health",0.6484375,37.62556861143,0.6146595614,0.6822154386
7,"gpt-4o-2024-05-13","Democrat","Banking, Finance & Domestic Commerce",0.58079625293,34.38728854399,0.5476927491,0.61389975676
7,"gpt-4o-2024-05-13","Democrat","Defense",0.58974358974,28.99022141171,0.54987234559,0.6296148339
7,"gpt-4o-2024-05-13","Democrat","Government Operations",0.59710144928,45.21009564468,0.57121569701,0.62298720154
7,"gpt-4o-2024-05-13","Democrat","Public Lands & Water Management",0.58641358641,37.66219185296,0.55589625715,0.61693091567
8,"gpt-4o-2024-05-13","Democrat","Health",0.64415584416,37.32334781301,0.61032923618,0.67798245214
8,"gpt-4o-2024-05-13","Democrat","Banking, Finance & Domestic Commerce",0.58128078818,33.56442626633,0.54733742801,0.61522414835
8,"gpt-4o-2024-05-13","Democrat","Defense",0.58894645941,28.79371259275,0.54885736546,0.62903555336
8,"gpt-4o-2024-05-13","Democrat","Government Operations",0.60028964518,45.52754562358,0.57444713449,0.62613215588
8,"gpt-4o-2024-05-13","Democrat","Public Lands & Water Management",0.58172588832,37.00125808016,0.55091175256,0.61254002409
9,"gpt-4o-2024-05-13","Democrat","Health",0.64766839378,37.65987488655,0.61396125244,0.68137553512
9,"gpt-4o-2024-05-13","Democrat","Banking, Finance & Domestic Commerce",0.58045292014,34.05993398175,0.54705101106,0.61385482923
9,"gpt-4o-2024-05-13","Democrat","Defense",0.59201388889,28.90175216657,0.55186663782,0.63216113996
9,"gpt-4o-2024-05-13","Democrat","Government Operations",0.59718309859,45.86841745994,0.57166538008,0.62270081711
9,"gpt-4o-2024-05-13","Democrat","Public Lands & Water Management",0.58613861386,37.80968610867,0.55575458555,0.61652264217
10,"gpt-4o-2024-05-13","Democrat","Health",0.64409030544,36.90376133602,0.60988257822,0.67829803267
10,"gpt-4o-2024-05-13","Democrat","Banking, Finance & Domestic Commerce",0.5832290363,33.42827019228,0.5490331925,0.61742488009
10,"gpt-4o-2024-05-13","Democrat","Defense",0.59819121447,33.93520318834,0.56364204057,0.63274038837
10,"gpt-4o-2024-05-13","Democrat","Government Operations",0.60348162476,39.65795434007,0.57365652991,0.63330671961
10,"gpt-4o-2024-05-13","Democrat","Public Lands & Water Management",0.58976930792,37.84811553286,0.55922811488,0.62031050096
11,"gpt-4o-2024-05-13","Democrat","Health",0.65296251511,39.4346834378,0.62050928102,0.68541574921
11,"gpt-4o-2024-05-13","Democrat","Banking, Finance & Domestic Commerce",0.59466019417,34.75826460115,0.5611282392,0.62819214915
11,"gpt-4o-2024-05-13","Democrat","Defense",0.58465991317,31.1787306668,0.54790689762,0.62141292872
11,"gpt-4o-2024-05-13","Democrat","Government Operations",0.609375,41.18569693474,0.58037578081,0.63837421919
11,"gpt-4o-2024-05-13","Democrat","Public Lands & Water Management",0.5924412666,37.71278171604,0.5616516114,0.62323092179
12,"gpt-4o-2024-05-13","Democrat","Health",0.64619492657,36.97518241628,0.611941714,0.68044813914
12,"gpt-4o-2024-05-13","Democrat","Banking, Finance & Domestic Commerce",0.6188976378,32.1029636772,0.58111243228,0.65668284331
12,"gpt-4o-2024-05-13","Democrat","Defense",0.59397715472,37.52255922976,0.56295118382,0.62500312563
12,"gpt-4o-2024-05-13","Democrat","Government Operations",0.6207442597,45.45290261992,0.59397729164,0.64751122776
12,"gpt-4o-2024-05-13","Democrat","Public Lands & Water Management",0.5881792183,38.69529173317,0.55838721952,0.61797121709
