"","headline","headline.type","magnitude","confidence","custom_id","company_name","prompt_type","explanation","input_tokens","output_tokens","headline.type.num","date","permno","ret","ret_fd1","ret_fd5","ret_fd10","ret_ld1","ret_ld2","ret_ld3"
"34","Buckingham Maintains Buy on Lennar, Raises Price Target to $67","positive",0.8,0.9,9469,"LENNAR CORP",7,"the news is positive because buckingham maintained a 'buy' rating and raised the price target for lennar, indicating confidence in the company's future performance.",135,64,2,"2019-10-03",52708,1.19335632771254,1.67493317276239,0.581097550531995,4.40950444615211,3.76884154975414,3.52730771742491,5.66520190115534
"35","Canaccord Genuity Earlier Maintained Buy on Heico, Lowered Price Target to $150","neutral",0.4,0.7,13230,"HEICO CORP NEW",7,"the news is neutral because while canaccord genuity maintained a 'buy' rating, which is positive, they also lowered the price target, which is negative.",140,68,1,"2019-12-18",32678,-3.82861942052841,-0.370530202053487,-0.560104733939137,3.81732024340515,-5.02911955118179,-4.36677914081367,-2.23608681934372
"36","Canaccord Genuity Maintains Buy on Heico, Raises Price Target to $130 Price Target","positive",0.8,0.9,25360,"HEICO CORP NEW",7,"the news is positive because canaccord genuity maintained a 'buy' rating and raised the price target for heico, indicating confidence in the company's future performance.",140,68,2,"2019-05-30",32678,2.16834638267756,1.59591920673847,5.76537553205387,6.50066732627259,11.7108516395092,12.5156075529274,13.0258591087203
"37","Cannabis Investment Company SOL Global Takes 8% Stake In Jones Soda","neutral",0.1,0.9,4721,"CONSTELLATION BRANDS INC",7,"the news about sol global taking an 8% stake in jones soda does not directly relate to or impact constellation brands inc.",136,63,1,"2019-03-26",69796,2.18401197344065,-0.925986561924219,2.91188621960983,11.1699909471931,-0.878903735429049,-0.796980996809604,2.08990713585948
"38","Canopy Growth Analyst Says Constellation Brands Likely To Bid On Cannabis Company's Equity","positive",0.7,0.8,7198,"CONSTELLATION BRANDS INC",7,"the news suggests that constellation brands is likely to invest in canopy growth, indicating potential growth opportunities and strategic expansion in the cannabis market.",139,64,2,"2019-12-09",69796,-1.29593778401613,-0.187571905553341,0.893691835234467,3.73475424771765,0.652190670371056,-0.347278429495001,-0.455315505430531
"39","Canopy Growth Appoints Constellation CFO As The Cannabis Company's New CEO","neutral",0.3,0.7,7214,"CONSTELLATION BRANDS INC",7,"the news is neutral for constellation brands inc. as it involves the appointment of their cfo to a new role at another company, which does not directly impact constellation's operations or financial performance.",137,76,1,"2019-12-09",69796,-1.29593778401613,-0.187571905553341,0.893691835234467,3.73475424771765,0.652190670371056,-0.347278429495001,-0.455315505430531
"40","Canopy Growth CEO Looks To The 'Pharmaceutical World' After String Of M&A Deals","neutral",0.3,0.7,11156,"CONSTELLATION BRANDS INC",7,"the news primarily focuses on canopy growth's ceo and their strategic direction, without directly mentioning any significant impact on constellation brands inc.",140,63,1,"2019-06-25",69796,1.45647106692195,0.609032297506928,8.02610680356535,9.18433938087036,-1.34436469525099,-2.41197959417589,-1.66016316745842
"41","Canopy Growth CEO Talks Leadership Concerns, Vaping, Beverages, Acreage Deal","neutral",0.2,0.7,26096,"CONSTELLATION BRANDS INC",7,"the headline primarily focuses on canopy growth's ceo discussing various topics without directly indicating any positive or negative impact on constellation brands inc.",140,67,1,"2019-09-24",69796,-0.354770361445844,-0.507214851677418,2.13129655461717,-7.56924959069396,0.326669006608427,-0.757206537081201,-0.752422459696955
"42","Canopy Growth Investors Pull Back As Losses Widen In Q1; CBD Products Coming To US Market","negative",0.7,0.8,6120,"CONSTELLATION BRANDS INC",7,"the news indicates that investors are pulling back from canopy growth, a company in which constellation brands has a significant investment, due to widening losses, which reflects negatively on constellation brands.",143,75,0,"2019-08-14",69796,-1.6129843890667,0.537853362038732,4.90794655057634,4.38043068222311,1.80263947695494,1.61912161382987,2.08709720264053
"43","Canopy Growth Obtains Health Canada License For Beverage Facility, Now Has All 'Cannabis 2.0' Licenses","positive",0.7,0.8,6924,"CONSTELLATION BRANDS INC",7,"canopy growth obtaining a health canada license for its beverage facility is positive for constellation brands inc. because constellation brands has a significant investment in canopy growth, and this development could enhance canopy's market position and profitability.",147,83,2,"2019-11-25",69796,1.29676973447204,0.266922824084759,0.501170259631034,-1.43815137432455,-2.89878565818071,-2.49650250541212,0.143674941966787
"44","Canopy Growth Soars On Unexpected Guidance Update, European Acquisition","negative",0.45,0.85,33472,"CONSTELLATION BRANDS INC",7,"the downgrade of universal display corporation's stock to 'neutral' by citigroup is generally perceived as negative news because it suggests a less favorable outlook on the company's future performance.",133,69,0,"2019-04-16",69796,-0.476641347631812,0.826276186853647,10.5941823559212,11.6204426024861,0.204691849648952,-0.130773662381789,0.431347732254483
"45","Canopy Growth To Expand Investment In US Hemp Industry","positive",0.7,0.8,37756,"CONSTELLATION BRANDS INC",7,"canopy growth's expansion in the us hemp industry is likely positive for constellation brands inc. as it holds a significant stake in canopy growth, potentially leading to increased revenue and market opportunities.",132,75,2,"2019-02-07",69796,1.02153914049268,0.67221955396235,0.376386387035921,-2.45096023864809,-1.39080127701163,-0.300911032460205,-0.840291667716242
"46","Canopy Growth's Bruce Linton Out As Co-CEO: 'My Turn Is Over'","negative",0.7,0.8,46806,"CONSTELLATION BRANDS INC",7,"the departure of bruce linton as co-ceo of canopy growth is likely negative for constellation brands inc., as they have a significant investment in canopy growth and leadership changes can create uncertainty.",140,76,0,"2019-07-03",69796,0.624177092686296,-1.20559707283974,-1.11555564620098,1.35068142697767,1.31062641739845,0.873363027589558,5.55230684687817
"47","Canopy Growth's Bruce Linton Talks Martha Stewart, Constellation Brands: 'Good Science Leads To Great Products'","positive",0.7,0.8,16769,"CONSTELLATION BRANDS INC",7,"the news mentions a positive collaboration between canopy growth and constellation brands, highlighting the potential for great products through good science.",145,61,2,"2019-03-07",69796,0.951464474201202,-0.864946842193604,1.77165429612753,1.0439036604138,-0.841944012790918,-2.67831403211711,-3.41980043845447
"48","Canopy Growth's Q3 Revenue Jumps 283% Year-Over-Year","positive",0.75,0.85,30964,"CONSTELLATION BRANDS INC",7,"canopy growth's significant revenue increase is positive for constellation brands inc., as it holds a substantial stake in canopy growth.",138,66,2,"2019-02-15",69796,0.546100782230496,-0.108628685120493,-4.43657299302953,-2.44697217874267,-0.463464856147766,1.17483082939627,0.688778294227688
"49","Citigroup Maintains Neutral on McCormick & Co, Raises Price Target to $166","neutral",0.5,0.8,7924,"MCCORMICK & CO INC",7,"the news is neutral because while citigroup maintained a neutral rating on mccormick & co, they also raised the price target, indicating a balanced outlook.",140,66,1,"2019-06-28",52090,-0.551742222160101,0.445134146139026,3.38936785809063,3.50590449040364,3.47871594130993,1.81592429663,1.11579692191619
"50","Compass Point Upgrades Federal Agricultural to Buy, Raises Price Target to $86","positive",0.8,0.9,13556,"FEDERAL AGRICULTURAL MORT CORP",7,"the news is positive because compass point upgraded federal agricultural to buy and raised its price target to $86, indicating confidence in the company's future performance.",145,64,2,"2019-02-22",80169,13.0246877670288,0.0246719835558906,1.36952560787296,-5.61382235971105,-2.08902079612017,-2.27582207342022,-1.06236787107856
"51","Constellation Brads Sees High Single Digit Sales Growth For A Long Time To Come In Beer Business","positive",0.8,0.9,9148,"CONSTELLATION BRANDS INC",7,"the news indicates that constellation brands expects high single-digit sales growth in its beer business for a long time, which is a positive indicator of sustained business performance and market confidence.",142,71,2,"2019-02-20",69796,-4.42994832992554,-0.79650366678834,1.35944690599934,-0.55096316537615,-0.108628685120493,0.436878875010827,-0.0286107611865538
"52","Constellation Brands 8-K Highlights Canopy Growth's Recent Q2 Results","neutral",0.3,0.7,43764,"CONSTELLATION BRANDS INC",7,"the headline simply states that constellation brands highlighted canopy growth's recent q2 results without indicating whether the results were positive or negative.",137,63,1,"2019-11-22",69796,-2.89878565818071,1.29676973447204,2.68182355804885,0.0275925097390272,0.414292607456446,3.13328790043483,6.71279394792716
"53","Constellation Brands Analysts Bullish After Q1 Print","positive",0.8,0.9,28614,"CONSTELLATION BRANDS INC",7,"the term 'bullish' indicates that analysts have a positive outlook on constellation brands after their q1 performance.",132,59,2,"2019-07-01",69796,-0.431606639176607,1.31062641739845,0.994439805532776,0.912850499722717,4.6384334564209,6.44254573569238,7.09081521751134
"54","Constellation Brands Earlier Gave Guidance: Sees FY20 Adj. EPS $8.65-$8.95 vs $8.57 Estimate","positive",0.8,0.9,8284,"CONSTELLATION BRANDS INC",7,"the news is positive because constellation brands' guidance for fy20 adjusted eps is higher than the estimate, indicating better-than-expected financial performance.",151,65,2,"2019-06-28",69796,4.6384334564209,-0.431606639176607,1.60455143133489,0.837815489865479,1.72413922846317,2.34367209072543,3.83427806355232
"55","Constellation Brands Executive At CAGNY Says Estimates Cannabis Market To Be Worth Over $200B Over Next Decade","positive",0.8,0.9,9132,"CONSTELLATION BRANDS INC",7,"the news is positive because it highlights a significant growth opportunity in the cannabis market, which could benefit constellation brands inc.",145,60,2,"2019-02-20",69796,-4.42994832992554,-0.79650366678834,1.35944690599934,-0.55096316537615,-0.108628685120493,0.436878875010827,-0.0286107611865538
"56","Constellation Brands Expands Partnership With MicroStar: MicroStar To Be Co.'s New Keg Solutions Provider","positive",0.7,0.8,30948,"CONSTELLATION BRANDS INC",7,"the news indicates an expansion of partnership and a new solution provider, which suggests growth and operational improvement for constellation brands inc.",144,61,2,"2019-02-15",69796,0.546100782230496,-0.108628685120493,-4.43657299302953,-2.44697217874267,-0.463464856147766,1.17483082939627,0.688778294227688
"57","Constellation Brands Expects Canopy Q3 Results To Have $0.10 Cost On EPS In The Fourth Quarter","negative",0.65,0.8,9084,"CONSTELLATION BRANDS INC",7,"the news indicates that constellation brands expects a $0.10 cost on eps in the fourth quarter due to canopy's q3 results, which is generally perceived as a negative impact on the company's financial performance.",145,79,0,"2019-02-20",69796,-4.42994832992554,-0.79650366678834,1.35944690599934,-0.55096316537615,-0.108628685120493,0.436878875010827,-0.0286107611865538
"58","Constellation Brands Made The Right Move With Early Cannabis Investment, Wells Fargo Says","positive",0.8,0.9,23628,"CONSTELLATION BRANDS INC",7,"the news is positive because it indicates that constellation brands made a successful strategic decision with its early investment in cannabis, as endorsed by wells fargo.",137,65,2,"2019-02-13",69796,1.64592396467924,-0.463464856147766,-5.21829282453794,-3.20993341245731,-0.480408547446132,-1.45163437853887,-0.789172994721099
"59","Constellation Brands Projects 10-Cent Hit To Earnings From Canopy Growth Investment","negative",0.75,0.9,9068,"CONSTELLATION BRANDS INC",7,"the news is negative because it indicates that constellation brands expects a 10-cent reduction in earnings due to its investment in canopy growth, which suggests a financial setback.",138,70,0,"2019-02-20",69796,-4.42994832992554,-0.79650366678834,1.35944690599934,-0.55096316537615,-0.108628685120493,0.436878875010827,-0.0286107611865538
"60","Constellation Brands Q1 Adj. EPS $2.2 Beats $2.06 Estimate, Sales $2.097B Beat $2.06B Estimate","positive",0.8,0.9,8300,"CONSTELLATION BRANDS INC",7,"the news is positive because constellation brands reported earnings per share (eps) and sales that both exceeded analysts' estimates.",154,60,2,"2019-06-28",69796,4.6384334564209,-0.431606639176607,1.60455143133489,0.837815489865479,1.72413922846317,2.34367209072543,3.83427806355232
"61","Constellation Brands Q1 Earnings Preview","neutral",0.1,0.8,5980,"CONSTELLATION BRANDS INC",7,"the headline is neutral as it simply states that there is a preview of constellation brands' q1 earnings without indicating whether the earnings are expected to be positive or negative.",129,70,1,"2019-06-27",69796,1.72413922846317,4.6384334564209,4.93066177013506,6.05175023011377,0.609032297506928,2.07437374363029,0.702121900122377
"62","Constellation Brands Q2 Adj. EPS Excluding Canopy $2.91 Beats $2.6 Estimate, Sales $2.34B Inline","positive",0.7,0.8,10197,"CONSTELLATION BRANDS INC",7,"the news is positive because constellation brands' adjusted eps of $2.91 beat the estimate of $2.6, indicating better-than-expected profitability, while sales were in line with expectations.",152,76,2,"2019-10-03",69796,-6.05928674340248,-0.267676846124232,-0.797893480397471,1.55976462277914,-1.25113902613521,-0.236397844485325,0.383491908282774
"63","Constellation Brands Q2 Earnings Outlook","neutral",0.2,0.7,25565,"CONSTELLATION BRANDS INC",7,"the headline 'constellation brands q2 earnings outlook' is neutral as it simply indicates an upcoming earnings report without providing any positive or negative information about the company's performance.",129,72,1,"2019-10-02",69796,-1.25113902613521,-6.05928674340248,-7.41331154784334,-4.01856851520185,1.02759785950184,1.65534155867439,1.62080660343582
"64","Constellation Brands Q4 Adj. EPS $1.84 vs $1.72 Estimate, Sales $1.797B vs $1.73B Est.","positive",0.8,0.9,17624,"CONSTELLATION BRANDS INC",7,"the news is positive because bce inc. reported earnings per share (eps) and sales that both exceeded analysts' estimates.",147,59,2,"2019-04-04",69796,6.54460117220879,0.966312922537327,-0.146251641715378,3.83912578502661,1.68637633323669,1.18250246220464,2.48673963136987
"65","Constellation Brands Raises FY20 Adj. EPS Guidance From $8.65-$8.95 To $9-$9.20, Operating Cash Flow To ~$2.2B","positive",0.8,0.9,10181,"CONSTELLATION BRANDS INC",7,"the news is positive because constellation brands has raised its fy20 adjusted eps guidance and operating cash flow, indicating better-than-expected financial performance.",158,65,2,"2019-10-03",69796,-6.05928674340248,-0.267676846124232,-0.797893480397471,1.55976462277914,-1.25113902613521,-0.236397844485325,0.383491908282774
"66","Constellation Brands Reports Deal Whereby Heaven Hill Brands Will Divest Black Velvet Canadian Whisky For Cash Proceeds $266M","positive",0.7,0.8,15296,"CONSTELLATION BRANDS INC",7,"the news is positive for constellation brands inc. as it reports a successful deal resulting in cash proceeds of $266 million, which can be used for further investments or debt reduction.",146,72,2,"2019-08-12",69796,-0.180268276017159,1.80263947695494,4.53250435001009,4.864024317633,0.460519222542643,3.18345573805281,3.71814283134604
"67","Constellation Brands Reports Purchase Of Majority Stake In Nelson's Green Brier Distillery, No Terms Disclosed","positive",0.7,0.8,20352,"CONSTELLATION BRANDS INC",7,"the purchase of a majority stake in nelson's green brier distillery suggests expansion and potential growth for constellation brands inc.",143,61,2,"2019-05-02",69796,-1.40034947544336,1.090282574296,-3.09869732385605,-0.742039086349633,0.198421208187938,-0.21172342415533,-0.0329974147509015
