"prompt","model","V","regression","coef_name","coef","se","t","lci","uci"
5,"gpt-3.5-turbo-0125","Senate","10k_V_Yllm","19",0.290422245108136,0.0145725531404593,19.9294003122765,0.26186056579004,0.318983924426232
5,"gpt-3.5-turbo-0125","Senate","10k_V_Yllm","20",0.384615384615384,0.016489515425645,23.3248445868349,0.352296528258603,0.416934240972166
5,"gpt-3.5-turbo-0125","Senate","10k_V_Yllm","Other",0.310402684563759,0.00599470357394801,51.7794884659047,0.298653281460827,0.322152087666691
6,"gpt-3.5-turbo-0125","Senate","10k_V_Yllm","3",0.361563517915309,0.0193953352791597,18.6417771444152,0.323549359300077,0.399577676530542
6,"gpt-3.5-turbo-0125","Senate","10k_V_Yllm","14",0.309368191721133,0.015260547134681,20.2724180850675,0.279458068952782,0.339278314489484
6,"gpt-3.5-turbo-0125","Senate","10k_V_Yllm","15",0.287323943661972,0.0169876438176958,16.9137019085996,0.254028773597093,0.32061911372685
6,"gpt-3.5-turbo-0125","Senate","10k_V_Yllm","19",0.299586776859504,0.0147275714160304,20.3418994480934,0.270721267304343,0.328452286414665
6,"gpt-3.5-turbo-0125","Senate","10k_V_Yllm","20",0.392045454545455,0.0164623851366663,23.8146204994476,0.359779772577962,0.424311136512948
6,"gpt-3.5-turbo-0125","Senate","10k_V_Yllm","Other",0.308629441624365,0.00601050142245524,51.3483684524764,0.296849075307326,0.320409807941404
7,"gpt-3.5-turbo-0125","Senate","10k_V_Yllm","3",0.343347639484978,0.0179649712884179,19.1120616878657,0.308136942776383,0.378558336193574
7,"gpt-3.5-turbo-0125","Senate","10k_V_Yllm","14",0.292740046838407,0.0155751412901927,18.7953381214422,0.262213330855507,0.323266762821308
7,"gpt-3.5-turbo-0125","Senate","10k_V_Yllm","15",0.298350824587706,0.01772111489399,16.835894715004,0.263618077629589,0.333083571545823
7,"gpt-3.5-turbo-0125","Senate","10k_V_Yllm","19",0.296678121420389,0.0154647544803057,19.1841468804569,0.266367759609236,0.326988483231543
7,"gpt-3.5-turbo-0125","Senate","10k_V_Yllm","20",0.395203336809176,0.0157919593879761,25.0256049360209,0.364251665163424,0.426155008454929
7,"gpt-3.5-turbo-0125","Senate","10k_V_Yllm","Other",0.309683927370545,0.00599691886508954,51.6405064562969,0.297930182376761,0.32143767236433
8,"gpt-3.5-turbo-0125","Senate","10k_V_Yllm","3",0.338278931750742,0.0182295242842644,18.5566516424535,0.302549720698285,0.374008142803198
8,"gpt-3.5-turbo-0125","Senate","10k_V_Yllm","14",0.2997542997543,0.0160629778732265,18.6611911016776,0.268271441638312,0.331237157870288
8,"gpt-3.5-turbo-0125","Senate","10k_V_Yllm","15",0.302405498281787,0.0190443081993285,15.8790487486676,0.265079340100622,0.339731656462952
8,"gpt-3.5-turbo-0125","Senate","10k_V_Yllm","19",0.292834890965732,0.0146686115166167,19.9633680825215,0.264084940689954,0.32158484124151
8,"gpt-3.5-turbo-0125","Senate","10k_V_Yllm","20",0.395918367346939,0.0156267235818128,25.3359807175274,0.365290551930223,0.426546182763655
8,"gpt-3.5-turbo-0125","Senate","10k_V_Yllm","Other",0.309169868047437,0.00597461485909413,51.7472465320238,0.297459838102114,0.320879897992759
9,"gpt-3.5-turbo-0125","Senate","10k_V_Yllm","3",0.342688330871492,0.0182461534247404,18.7814013668675,0.306926527302609,0.378450134440375
9,"gpt-3.5-turbo-0125","Senate","10k_V_Yllm","14",0.294258373205742,0.0157657440122077,18.6644139964401,0.263358082752336,0.325158663659147
9,"gpt-3.5-turbo-0125","Senate","10k_V_Yllm","15",0.300925925925926,0.0180232964177514,16.6964976301194,0.265600914064443,0.336250937787408
9,"gpt-3.5-turbo-0125","Senate","10k_V_Yllm","19",0.301446051167964,0.0153092973072603,19.6903910818301,0.271440379817118,0.331451722518811
9,"gpt-3.5-turbo-0125","Senate","10k_V_Yllm","20",0.391513982642238,0.015161420369506,25.8230411861467,0.361798144763534,0.421229820520941
9,"gpt-3.5-turbo-0125","Senate","10k_V_Yllm","Other",0.308148399119092,0.00601146563611371,51.2601115554749,0.296366142978009,0.319930655260175
10,"gpt-3.5-turbo-0125","Senate","10k_V_Yllm","3",0.335260115606936,0.0179512251514245,18.6761690513548,0.300076360831775,0.370443870382098
10,"gpt-3.5-turbo-0125","Senate","10k_V_Yllm","14",0.30623020063358,0.0149825950885568,20.4390627140066,0.276864853865062,0.335595547402098
10,"gpt-3.5-turbo-0125","Senate","10k_V_Yllm","15",0.286642599277978,0.0121542843654858,23.5836673438339,0.262820639663768,0.310464558892189
10,"gpt-3.5-turbo-0125","Senate","10k_V_Yllm","19",0.290423861852433,0.0179918681813423,16.1419514041129,0.25516044820241,0.325687275502456
10,"gpt-3.5-turbo-0125","Senate","10k_V_Yllm","20",0.405622489959839,0.0179705853731959,22.5714678479449,0.370400789847273,0.440844190072405
10,"gpt-3.5-turbo-0125","Senate","10k_V_Yllm","Other",0.315092989985694,0.00621415272032369,50.7057042475262,0.302913474459428,0.32727250551196
11,"gpt-3.5-turbo-0125","Senate","10k_V_Yllm","3",0.339805825242719,0.0176446865984967,19.2582522418771,0.305222874991168,0.374388775494269
11,"gpt-3.5-turbo-0125","Senate","10k_V_Yllm","14",0.296140939597316,0.0132276981955236,22.3879419699441,0.270215127535724,0.322066751658907
11,"gpt-3.5-turbo-0125","Senate","10k_V_Yllm","15",0.288334556126192,0.0122735073215838,23.4924336272758,0.264278923811899,0.312390188440485
11,"gpt-3.5-turbo-0125","Senate","10k_V_Yllm","19",0.279430789133247,0.0161441639646482,17.3084707108483,0.247788809202027,0.311072769064467
11,"gpt-3.5-turbo-0125","Senate","10k_V_Yllm","20",0.404872389791183,0.0167240256415055,24.209027088931,0.372093901857308,0.437650877725059
11,"gpt-3.5-turbo-0125","Senate","10k_V_Yllm","Other",0.316958145018667,0.00652437205235149,48.5806361861952,0.304170610774319,0.329745679263016
12,"gpt-3.5-turbo-0125","Senate","10k_V_Yllm","3",0.337677725118483,0.0162833962525058,20.7375488431364,0.305762854917577,0.369592595319389
12,"gpt-3.5-turbo-0125","Senate","10k_V_Yllm","14",0.296663660955816,0.0137207628658216,21.62151360365,0.269771459898391,0.323555862013241
12,"gpt-3.5-turbo-0125","Senate","10k_V_Yllm","15",0.276483846731781,0.0122631007732,22.545998099927,0.252448610877523,0.300519082586038
12,"gpt-3.5-turbo-0125","Senate","10k_V_Yllm","19",0.291793313069909,0.0144740287252573,20.1597854065832,0.263424738057206,0.320161888082611
12,"gpt-3.5-turbo-0125","Senate","10k_V_Yllm","20",0.39053905390539,0.016186522731908,24.1274213352527,0.358814052315912,0.422264055494869
12,"gpt-3.5-turbo-0125","Senate","10k_V_Yllm","Other",0.320331950207469,0.00672288008119154,47.6480238140281,0.307155347375952,0.333508553038987
1,"gpt-4o-2024-05-13","Senate","10k_V_Yllm","3",0.323785803237858,0.0165174727238627,19.6026237579364,0.291412151583464,0.356159454892252
1,"gpt-4o-2024-05-13","Senate","10k_V_Yllm","14",0.300578034682081,0.0155944667082096,19.2746594228736,0.270013441575881,0.331142627788281
1,"gpt-4o-2024-05-13","Senate","10k_V_Yllm","15",0.301075268817204,0.0179842602498712,16.7410427025688,0.265826766438861,0.336323771195547
1,"gpt-4o-2024-05-13","Senate","10k_V_Yllm","19",0.276755852842809,0.0129406356197925,21.3865733472563,0.25139267309096,0.302119032594659
1,"gpt-4o-2024-05-13","Senate","10k_V_Yllm","20",0.390088945362135,0.0173923407431889,22.4287777661497,0.356000583898636,0.424177306825633
1,"gpt-4o-2024-05-13","Senate","10k_V_Yllm","Other",0.318532818532819,0.00617402907075934,51.5923742635769,0.306431943914628,0.330633693151011
2,"gpt-4o-2024-05-13","Senate","10k_V_Yllm","3",0.323415265200517,0.0168299154950636,19.2166897864329,0.29042923696734,0.356401293433695
2,"gpt-4o-2024-05-13","Senate","10k_V_Yllm","14",0.311242603550296,0.01593252580638,19.5350446836033,0.280015426787036,0.342469780313556
2,"gpt-4o-2024-05-13","Senate","10k_V_Yllm","15",0.289703315881326,0.0189561284603238,15.2828314329949,0.252549986812777,0.326856644949876
2,"gpt-4o-2024-05-13","Senate","10k_V_Yllm","19",0.285502958579882,0.012287046605503,23.2360930780562,0.261420789756731,0.309585127403033
2,"gpt-4o-2024-05-13","Senate","10k_V_Yllm","20",0.39065606361829,0.0153872095701533,25.3883630971043,0.36049768703822,0.420814440198361
2,"gpt-4o-2024-05-13","Senate","10k_V_Yllm","Other",0.31388736011741,0.00628748352769119,49.9225737506896,0.301564118849746,0.326210601385073
3,"gpt-4o-2024-05-13","Senate","10k_V_Yllm","3",0.320363164721141,0.0168098129347742,19.058104094568,0.287416536782128,0.353309792660154
3,"gpt-4o-2024-05-13","Senate","10k_V_Yllm","14",0.308457711442786,0.0162933163762552,18.9315486374715,0.276523398156609,0.340392024728963
3,"gpt-4o-2024-05-13","Senate","10k_V_Yllm","15",0.291882556131261,0.01889938893326,15.4440208179214,0.254840434492256,0.328924677770265
3,"gpt-4o-2024-05-13","Senate","10k_V_Yllm","19",0.283232628398791,0.0123864567303671,22.8663155706512,0.258955619311208,0.307509637486375
3,"gpt-4o-2024-05-13","Senate","10k_V_Yllm","20",0.390147783251231,0.0153152532124791,25.4744585569981,0.360130438540661,0.420165127961802
3,"gpt-4o-2024-05-13","Senate","10k_V_Yllm","Other",0.314871981114945,0.0062607399047651,50.293094091849,0.302601156385033,0.327142805844857
4,"gpt-4o-2024-05-13","Senate","10k_V_Yllm","3",0.325192802056555,0.0167996736127861,19.357090474011,0.292266046823467,0.358119557289644
4,"gpt-4o-2024-05-13","Senate","10k_V_Yllm","14",0.303550973654066,0.0155662387951328,19.5005985485062,0.273041706240856,0.334060241067277
4,"gpt-4o-2024-05-13","Senate","10k_V_Yllm","15",0.295169946332737,0.0192975732735743,15.2957028403637,0.257347397727509,0.332992494937965
4,"gpt-4o-2024-05-13","Senate","10k_V_Yllm","19",0.281199351701783,0.0128021860749473,21.964948021812,0.256107528071506,0.30629117533206
4,"gpt-4o-2024-05-13","Senate","10k_V_Yllm","20",0.386538461538462,0.0151044071699638,25.5911044497741,0.356934367477504,0.41614255559942
4,"gpt-4o-2024-05-13","Senate","10k_V_Yllm","Other",0.314902102973168,0.00625579194266705,50.3376879952493,0.302640976070765,0.327163229875572
5,"gpt-4o-2024-05-13","Senate","10k_V_Yllm","3",0.324742268041237,0.0168152628115469,19.3123516224938,0.29178495854003,0.357699577542445
5,"gpt-4o-2024-05-13","Senate","10k_V_Yllm","14",0.311893203883495,0.0161434963934209,19.3200528734657,0.280252532367838,0.343533875399152
5,"gpt-4o-2024-05-13","Senate","10k_V_Yllm","15",0.289930555555556,0.0189110869692218,15.3312475389397,0.252865506187376,0.326995604923735
5,"gpt-4o-2024-05-13","Senate","10k_V_Yllm","19",0.286507936507937,0.0127411302837982,22.4868540016629,0.26153578002936,0.311480092986514
5,"gpt-4o-2024-05-13","Senate","10k_V_Yllm","20",0.384912959381044,0.0151362960391152,25.4297985706909,0.355246364285042,0.414579554477046
5,"gpt-4o-2024-05-13","Senate","10k_V_Yllm","Other",0.313562386980109,0.00624065650373239,50.2450962959706,0.301330924992908,0.32579384896731
6,"gpt-4o-2024-05-13","Senate","10k_V_Yllm","3",0.323797139141742,0.0168788231608753,19.1836324165239,0.290715253645006,0.356879024638479
6,"gpt-4o-2024-05-13","Senate","10k_V_Yllm","14",0.30440097799511,0.0160937102733601,18.9142822148964,0.272857885481702,0.335944070508518
6,"gpt-4o-2024-05-13","Senate","10k_V_Yllm","15",0.296551724137931,0.0189706688061458,15.6321175161657,0.259369896515248,0.333733551760614
6,"gpt-4o-2024-05-13","Senate","10k_V_Yllm","19",0.2914653784219,0.0128986291067644,22.5966167419332,0.266184529922702,0.316746226921098
6,"gpt-4o-2024-05-13","Senate","10k_V_Yllm","20",0.386756238003839,0.015091475435468,25.6274636404923,0.35717748967675,0.416334986330927
6,"gpt-4o-2024-05-13","Senate","10k_V_Yllm","Other",0.312488736709317,0.0062241501071554,50.2058484017077,0.300289626664921,0.324687846753713
7,"gpt-4o-2024-05-13","Senate","10k_V_Yllm","3",0.32421875,0.0168955311693371,19.1896156889349,0.291104117408426,0.357333382591575
7,"gpt-4o-2024-05-13","Senate","10k_V_Yllm","14",0.309133489461358,0.0158187255291568,19.542250030925,0.278129357142887,0.34013762177983
7,"gpt-4o-2024-05-13","Senate","10k_V_Yllm","15",0.294017094017094,0.0188423808464764,15.6040309562089,0.257086706175013,0.330947481859175
7,"gpt-4o-2024-05-13","Senate","10k_V_Yllm","19",0.291304347826087,0.0122347232991042,23.8096392296355,0.26732473079903,0.315283964853144
7,"gpt-4o-2024-05-13","Senate","10k_V_Yllm","20",0.385614385614385,0.0153890007725168,25.0577923358776,0.355452498342194,0.415776272886577
7,"gpt-4o-2024-05-13","Senate","10k_V_Yllm","Other",0.313377679231338,0.00630731356372672,49.6848105084816,0.301015571807232,0.325739786655443
8,"gpt-4o-2024-05-13","Senate","10k_V_Yllm","3",0.320779220779221,0.0168264911238562,19.0639402129674,0.28779990419028,0.353758537368162
8,"gpt-4o-2024-05-13","Senate","10k_V_Yllm","14",0.314039408866995,0.0162927341590257,19.2748132880464,0.282106236705619,0.345972581028371
8,"gpt-4o-2024-05-13","Senate","10k_V_Yllm","15",0.290155440414508,0.018866356370423,15.3795165700033,0.253178061408981,0.327132819420034
8,"gpt-4o-2024-05-13","Senate","10k_V_Yllm","19",0.285300506879073,0.0121547630466845,23.4723215733026,0.261477609066953,0.309123404691193
8,"gpt-4o-2024-05-13","Senate","10k_V_Yllm","20",0.385786802030457,0.0155147744870073,24.865769228778,0.355378402807661,0.416195201253252
8,"gpt-4o-2024-05-13","Senate","10k_V_Yllm","Other",0.315183628722822,0.00628183458202673,50.1738185886986,0.302871459185212,0.327495798260433
9,"gpt-4o-2024-05-13","Senate","10k_V_Yllm","3",0.318652849740933,0.0167750878250425,18.9955994904083,0.285774281766353,0.351531417715512
9,"gpt-4o-2024-05-13","Senate","10k_V_Yllm","14",0.309892729439809,0.0159703098431191,19.4043028897983,0.27859149732535,0.341193961554268
9,"gpt-4o-2024-05-13","Senate","10k_V_Yllm","15",0.295138888888889,0.0190100859215917,15.525384267394,0.257879805139557,0.332397972638221
9,"gpt-4o-2024-05-13","Senate","10k_V_Yllm","19",0.293661971830986,0.0120897217322528,24.2902176191167,0.269966552652659,0.317357391009313
9,"gpt-4o-2024-05-13","Senate","10k_V_Yllm","20",0.384158415841584,0.0153094405947134,25.0929100553968,0.35415246365249,0.414164368030678
9,"gpt-4o-2024-05-13","Senate","10k_V_Yllm","Other",0.313579788222181,0.00632538843544085,49.5747876075417,0.30118225470049,0.325977321743871
10,"gpt-4o-2024-05-13","Senate","10k_V_Yllm","3",0.326693227091633,0.0170965860449096,19.1086820628089,0.29318453418502,0.360201919998246
10,"gpt-4o-2024-05-13","Senate","10k_V_Yllm","14",0.310387984981226,0.0163723793337709,18.9580255046374,0.278298711145808,0.342477258816645
10,"gpt-4o-2024-05-13","Senate","10k_V_Yllm","15",0.295865633074935,0.0164109936989126,18.0285020214552,0.263700676474553,0.328030589675318
10,"gpt-4o-2024-05-13","Senate","10k_V_Yllm","19",0.288201160541586,0.0140895317001735,20.4549850679592,0.260586185850211,0.315816135232961
10,"gpt-4o-2024-05-13","Senate","10k_V_Yllm","20",0.383149448345035,0.0154012804533099,24.8777658134713,0.352963493340747,0.413335403349323
10,"gpt-4o-2024-05-13","Senate","10k_V_Yllm","Other",0.312954102427786,0.0061745953591347,50.6841475797765,0.300852117904774,0.325056086950799
11,"gpt-4o-2024-05-13","Senate","10k_V_Yllm","3",0.321644498186215,0.0162477905541781,19.7961991886647,0.289799413871676,0.353489582500754
11,"gpt-4o-2024-05-13","Senate","10k_V_Yllm","14",0.304611650485437,0.0160381282354269,18.992967634002,0.273177496764565,0.336045804206309
11,"gpt-4o-2024-05-13","Senate","10k_V_Yllm","15",0.301013024602026,0.0174549451824246,17.2451429354884,0.266801960692353,0.335224088511699
11,"gpt-4o-2024-05-13","Senate","10k_V_Yllm","19",0.28952205882353,0.0137540946375175,21.0498812501836,0.26256452869404,0.316479588953019
11,"gpt-4o-2024-05-13","Senate","10k_V_Yllm","20",0.378958120531154,0.015509401330529,24.4340908107914,0.34856025250154,0.409355988560769
11,"gpt-4o-2024-05-13","Senate","10k_V_Yllm","Other",0.314433911643713,0.00621119170990738,50.6237653463769,0.30226019959122,0.326607623696205
12,"gpt-4o-2024-05-13","Senate","10k_V_Yllm","3",0.335113484646195,0.0172527819307185,19.4237361830632,0.301298653428863,0.368928315863526
12,"gpt-4o-2024-05-13","Senate","10k_V_Yllm","14",0.325984251968504,0.018607018813495,17.5194239999413,0.289515165234395,0.362453338702613
12,"gpt-4o-2024-05-13","Senate","10k_V_Yllm","15",0.278296988577362,0.0144461026352961,19.2645030707037,0.249983147695213,0.306610829459512
12,"gpt-4o-2024-05-13","Senate","10k_V_Yllm","19",0.297703879651623,0.0128700737032791,23.1314821123186,0.27247899871482,0.322928760588426
12,"gpt-4o-2024-05-13","Senate","10k_V_Yllm","20",0.385128693994281,0.0150292612942142,25.6252577192561,0.355671883143379,0.414585504845182
12,"gpt-4o-2024-05-13","Senate","10k_V_Yllm","Other",0.311364912937651,0.0063379447291946,49.1271107971966,0.298942769532424,0.323787056342878
1,"gpt-3.5-turbo-0125","Democrat","10k_V_Yllm","3",0.615740740740741,0.0234099005947562,26.3025781868833,0.569858178693356,0.661623302788126
1,"gpt-3.5-turbo-0125","Democrat","10k_V_Yllm","14",0.59741935483871,0.0176216092275212,33.9026559450466,0.56288163540313,0.63195707427429
1,"gpt-3.5-turbo-0125","Democrat","10k_V_Yllm","15",0.57672849915683,0.0202954273832647,28.4166718081725,0.536950192434783,0.616506805878877
1,"gpt-3.5-turbo-0125","Democrat","10k_V_Yllm","19",0.595658073270014,0.0180829585921762,32.94029957729,0.560216125695419,0.631100020844608
1,"gpt-3.5-turbo-0125","Democrat","10k_V_Yllm","20",0.582142857142857,0.0170223449147945,34.1987464157717,0.548779674177442,0.615506040108273
1,"gpt-3.5-turbo-0125","Democrat","10k_V_Yllm","Other",0.610146459308467,0.00599474534412595,101.780213217285,0.598396974337491,0.621895944279443
2,"gpt-3.5-turbo-0125","Democrat","10k_V_Yllm","3",0.608359133126935,0.0192104742404761,31.6680955145362,0.570707295489667,0.646010970764202
2,"gpt-3.5-turbo-0125","Democrat","10k_V_Yllm","14",0.567769477054428,0.0161884127486095,35.0725846858085,0.536040771100285,0.599498183008572
2,"gpt-3.5-turbo-0125","Democrat","10k_V_Yllm","15",0.576763485477178,0.0183802588056038,31.3795083941547,0.54073884019167,0.612788130762687
2,"gpt-3.5-turbo-0125","Democrat","10k_V_Yllm","19",0.594117647058824,0.0168483422293746,35.2626768242514,0.561095503090044,0.627139791027603
2,"gpt-3.5-turbo-0125","Democrat","10k_V_Yllm","20",0.592513368983957,0.0160742338178271,36.8610644649719,0.56100844962194,0.624018288345974
2,"gpt-3.5-turbo-0125","Democrat","10k_V_Yllm","Other",0.615840243696056,0.00632941102018973,97.2981912110987,0.603434826053133,0.628245661338978
3,"gpt-3.5-turbo-0125","Democrat","10k_V_Yllm","3",0.61371237458194,0.019916708795179,30.8139452603983,0.574676342652817,0.652748406511063
3,"gpt-3.5-turbo-0125","Democrat","10k_V_Yllm","14",0.567021276595745,0.0161658802041542,35.0751873349918,0.535336733617214,0.598705819574276
3,"gpt-3.5-turbo-0125","Democrat","10k_V_Yllm","15",0.576564580559254,0.0180354893396128,31.9683358572866,0.541215671010057,0.611913490108452
3,"gpt-3.5-turbo-0125","Democrat","10k_V_Yllm","19",0.595190380761523,0.0155424121237538,38.2945952032683,0.564727812766087,0.625652948756959
3,"gpt-3.5-turbo-0125","Democrat","10k_V_Yllm","20",0.587368421052632,0.0159773611668309,36.7625426326353,0.556053368597654,0.618683473507609
3,"gpt-3.5-turbo-0125","Democrat","10k_V_Yllm","Other",0.616866215512752,0.00640584956001692,96.2973310149236,0.604310981084737,0.629421449940767
4,"gpt-3.5-turbo-0125","Democrat","10k_V_Yllm","3",0.624373956594324,0.0197932520024355,31.5447889269281,0.585579895532625,0.663168017656023
4,"gpt-3.5-turbo-0125","Democrat","10k_V_Yllm","14",0.572043010752688,0.0162294296161471,35.2472652633181,0.540233913215412,0.603852108289964
4,"gpt-3.5-turbo-0125","Democrat","10k_V_Yllm","15",0.581267217630854,0.0183154845896495,31.7363821189499,0.545369527475743,0.617164907785966
4,"gpt-3.5-turbo-0125","Democrat","10k_V_Yllm","19",0.586826347305389,0.0170454394295145,34.4271762386652,0.553417899922882,0.620234794687897
4,"gpt-3.5-turbo-0125","Democrat","10k_V_Yllm","20",0.579081632653061,0.0176376666322068,32.8320998876146,0.544512441282612,0.61365082402351
4,"gpt-3.5-turbo-0125","Democrat","10k_V_Yllm","Other",0.615083251714008,0.00621859375214471,98.9103447225305,0.602895031925318,0.627271471502697
5,"gpt-3.5-turbo-0125","Democrat","10k_V_Yllm","3",0.62781954887218,0.0209637372368034,29.9478829456991,0.586731378906685,0.668907718837676
5,"gpt-3.5-turbo-0125","Democrat","10k_V_Yllm","14",0.582677165354331,0.0165435809433842,35.2207401377236,0.550252342529975,0.615101988178687
5,"gpt-3.5-turbo-0125","Democrat","10k_V_Yllm","15",0.581724581724582,0.017701484826208,32.8630387470834,0.547030308992332,0.616418854456832
5,"gpt-3.5-turbo-0125","Democrat","10k_V_Yllm","19",0.594232749742533,0.0157629500761325,37.6980671049827,0.56333793530321,0.625127564181856
5,"gpt-3.5-turbo-0125","Democrat","10k_V_Yllm","20",0.588978185993111,0.0166764379092814,35.3179851235084,0.556292968300501,0.621663403685721
5,"gpt-3.5-turbo-0125","Democrat","10k_V_Yllm","Other",0.611744966442952,0.00631467418359786,96.8767269152123,0.599368432468995,0.624121500416908
6,"gpt-3.5-turbo-0125","Democrat","10k_V_Yllm","3",0.623778501628665,0.0195561404503716,31.8968102735635,0.58544917066933,0.662107832588
6,"gpt-3.5-turbo-0125","Democrat","10k_V_Yllm","14",0.57516339869281,0.0163198277427613,35.2432273035434,0.543177124083101,0.60714967330252
6,"gpt-3.5-turbo-0125","Democrat","10k_V_Yllm","15",0.576056338028169,0.0185518705892634,31.0511188214925,0.539695339827365,0.612417336228973
6,"gpt-3.5-turbo-0125","Democrat","10k_V_Yllm","19",0.586776859504133,0.0158314777539587,37.063934815397,0.555747733284327,0.617805985723939
6,"gpt-3.5-turbo-0125","Democrat","10k_V_Yllm","20",0.588636363636364,0.0165930218226592,35.4749345795791,0.556114638469265,0.621158088803463
6,"gpt-3.5-turbo-0125","Democrat","10k_V_Yllm","Other",0.614890016920472,0.00633180740565319,97.1112950105657,0.602479902448347,0.627300131392596
7,"gpt-3.5-turbo-0125","Democrat","10k_V_Yllm","3",0.625178826895565,0.0183149580379106,34.134876290816,0.589282168762898,0.661075485028232
7,"gpt-3.5-turbo-0125","Democrat","10k_V_Yllm","14",0.57728337236534,0.0169091034828351,34.1403891076398,0.544142138528122,0.610424606202557
7,"gpt-3.5-turbo-0125","Democrat","10k_V_Yllm","15",0.583208395802099,0.0190958403535764,30.541122307449,0.545781236454562,0.620635555149635
7,"gpt-3.5-turbo-0125","Democrat","10k_V_Yllm","19",0.597938144329897,0.0165996056811538,36.0212257938609,0.565403515037269,0.630472773622525
7,"gpt-3.5-turbo-0125","Democrat","10k_V_Yllm","20",0.586027111574557,0.0159098405767716,36.8342541678362,0.554844397044311,0.617209826104803
7,"gpt-3.5-turbo-0125","Democrat","10k_V_Yllm","Other",0.611466039004708,0.00632186927178198,96.7223478875182,0.599075402917045,0.623856675092371
