question,month,model,file,return_type,response rows,prompt rows,empty headlines,duplicate headlines,rows in model sample,rows in all sample,model sample rows in batch,all sample rows in batch
1,jan,gpt-3.5-turbo,cot3,realized,4294,4294.0,2,44,4290,4290,4246,4246
1,feb,gpt-3.5-turbo,cot3,realized,4563,4563.0,0,0,4558,4551,4558,4551
1,mar,gpt-3.5-turbo,cot3,realized,3519,3519.0,0,0,3499,3489,3499,3489
1,apr,gpt-3.5-turbo,cot3,realized,4362,4362.0,2,25,4359,4269,4334,4244
1,may,gpt-3.5-turbo,cot3,realized,5066,5066.0,1,22,5063,5061,5041,5039
1,jun,gpt-3.5-turbo,cot3,realized,3222,3222.0,1,40,3220,3220,3180,3180
1,jul,gpt-3.5-turbo,cot3,realized,5216,5216.0,1,28,5210,5194,5182,5166
1,aug,gpt-3.5-turbo,cot3,realized,4698,4698.0,3,27,4692,4687,4665,4660
1,sep,gpt-3.5-turbo,cot3,realized,4130,4130.0,0,20,4127,4126,4107,4106
1,oct,gpt-3.5-turbo,cot3,realized,6478,6478.0,6,41,6461,6460,6420,6419
1,nov,gpt-3.5-turbo,cot3,realized,5264,5264.0,3,0,5253,5232,5253,5232
1,dec,gpt-3.5-turbo,cot3,realized,3834,3834.0,1,0,3720,3713,3720,3713
1,jan,gpt-3.5-turbo,base_blanks,abnormal_CAPM,4294,4294.0,0,44,4288,4288,4244,4244
1,feb,gpt-3.5-turbo,base_blanks,abnormal_CAPM,4563,4563.0,0,0,4552,4551,4552,4551
1,mar,gpt-3.5-turbo,base_blanks,abnormal_CAPM,3519,3519.0,0,0,3490,3489,3490,3489
1,apr,gpt-3.5-turbo,base_blanks,abnormal_CAPM,4362,4362.0,0,25,4357,4267,4332,4242
1,may,gpt-3.5-turbo,base_blanks,abnormal_CAPM,5066,5066.0,0,22,5063,5061,5041,5039
1,jun,gpt-3.5-turbo,base_blanks,abnormal_CAPM,3222,3222.0,0,40,3220,3220,3180,3180
1,jul,gpt-3.5-turbo,base_blanks,abnormal_CAPM,5216,5216.0,0,28,5210,5194,5182,5166
1,aug,gpt-3.5-turbo,base_blanks,abnormal_CAPM,4698,4698.0,0,27,4689,4684,4662,4657
1,sep,gpt-3.5-turbo,base_blanks,abnormal_CAPM,4130,4130.0,0,20,4122,4121,4102,4101
1,oct,gpt-3.5-turbo,base_blanks,abnormal_CAPM,6478,6478.0,0,41,6434,6433,6393,6392
1,nov,gpt-3.5-turbo,base_blanks,abnormal_CAPM,5264,5264.0,0,0,5216,5213,5216,5213
1,dec,gpt-3.5-turbo,base_blanks,abnormal_CAPM,3834,3834.0,0,0,3710,3709,3710,3709
1,jan,gpt-3.5-turbo,base_json,abnormal_CAPM,4294,4294.0,0,44,4288,4288,4244,4244
1,feb,gpt-3.5-turbo,base_json,abnormal_CAPM,4563,4563.0,0,0,4552,4551,4552,4551
1,mar,gpt-3.5-turbo,base_json,abnormal_CAPM,3519,3519.0,1,0,3490,3489,3490,3489
1,apr,gpt-3.5-turbo,base_json,abnormal_CAPM,4362,4362.0,0,25,4357,4267,4332,4242
1,may,gpt-3.5-turbo,base_json,abnormal_CAPM,5066,5066.0,0,22,5063,5061,5041,5039
1,jun,gpt-3.5-turbo,base_json,abnormal_CAPM,3222,3222.0,0,40,3220,3220,3180,3180
1,jul,gpt-3.5-turbo,base_json,abnormal_CAPM,5216,5216.0,1,28,5210,5194,5182,5166
1,aug,gpt-3.5-turbo,base_json,abnormal_CAPM,4698,4698.0,2,27,4689,4684,4662,4657
1,sep,gpt-3.5-turbo,base_json,abnormal_CAPM,4130,4130.0,0,20,4122,4121,4102,4101
1,oct,gpt-3.5-turbo,base_json,abnormal_CAPM,6478,6478.0,1,41,6434,6433,6393,6392
1,nov,gpt-3.5-turbo,base_json,abnormal_CAPM,5264,5264.0,1,0,5216,5213,5216,5213
1,dec,gpt-3.5-turbo,base_json,abnormal_CAPM,3834,3834.0,0,0,3710,3709,3710,3709
1,jan,gpt-3.5-turbo,persona1,abnormal_CAPM,4294,4294.0,0,44,4288,4288,4244,4244
1,feb,gpt-3.5-turbo,persona1,abnormal_CAPM,4563,4563.0,1,0,4552,4551,4552,4551
1,mar,gpt-3.5-turbo,persona1,abnormal_CAPM,3519,3519.0,1,0,3490,3489,3490,3489
1,apr,gpt-3.5-turbo,persona1,abnormal_CAPM,4362,4362.0,0,25,4357,4267,4332,4242
1,may,gpt-3.5-turbo,persona1,abnormal_CAPM,5066,5066.0,0,22,5063,5061,5041,5039
1,jun,gpt-3.5-turbo,persona1,abnormal_CAPM,3222,3222.0,0,40,3220,3220,3180,3180
1,jul,gpt-3.5-turbo,persona1,abnormal_CAPM,5216,5216.0,1,28,5210,5194,5182,5166
1,aug,gpt-3.5-turbo,persona1,abnormal_CAPM,4698,4698.0,1,27,4689,4684,4662,4657
1,sep,gpt-3.5-turbo,persona1,abnormal_CAPM,4130,4130.0,1,20,4122,4121,4102,4101
1,oct,gpt-3.5-turbo,persona1,abnormal_CAPM,6478,6478.0,0,41,6434,6433,6393,6392
1,nov,gpt-3.5-turbo,persona1,abnormal_CAPM,5264,5264.0,1,0,5216,5213,5216,5213
1,dec,gpt-3.5-turbo,persona1,abnormal_CAPM,3834,3834.0,1,0,3710,3709,3710,3709
1,jan,gpt-3.5-turbo,persona2,abnormal_CAPM,4294,4294.0,0,44,4288,4288,4244,4244
1,feb,gpt-3.5-turbo,persona2,abnormal_CAPM,4563,4563.0,0,0,4552,4551,4552,4551
1,mar,gpt-3.5-turbo,persona2,abnormal_CAPM,3519,3519.0,1,0,3490,3489,3490,3489
1,apr,gpt-3.5-turbo,persona2,abnormal_CAPM,4362,4362.0,0,25,4357,4267,4332,4242
1,may,gpt-3.5-turbo,persona2,abnormal_CAPM,5066,5066.0,1,22,5063,5061,5041,5039
1,jun,gpt-3.5-turbo,persona2,abnormal_CAPM,3222,3222.0,0,40,3220,3220,3180,3180
1,jul,gpt-3.5-turbo,persona2,abnormal_CAPM,5216,5216.0,0,28,5210,5194,5182,5166
1,aug,gpt-3.5-turbo,persona2,abnormal_CAPM,4698,4698.0,0,27,4689,4684,4662,4657
1,sep,gpt-3.5-turbo,persona2,abnormal_CAPM,4130,4130.0,1,20,4122,4121,4102,4101
1,oct,gpt-3.5-turbo,persona2,abnormal_CAPM,6478,6478.0,0,41,6434,6433,6393,6392
1,nov,gpt-3.5-turbo,persona2,abnormal_CAPM,5264,5264.0,0,0,5216,5213,5216,5213
1,dec,gpt-3.5-turbo,persona2,abnormal_CAPM,3834,3834.0,0,0,3710,3709,3710,3709
1,jan,gpt-3.5-turbo,persona3,abnormal_CAPM,4294,4294.0,0,44,4288,4288,4244,4244
1,feb,gpt-3.5-turbo,persona3,abnormal_CAPM,4563,4563.0,0,0,4552,4551,4552,4551
1,mar,gpt-3.5-turbo,persona3,abnormal_CAPM,3519,3519.0,0,0,3490,3489,3490,3489
1,apr,gpt-3.5-turbo,persona3,abnormal_CAPM,4362,4362.0,0,25,4357,4267,4332,4242
1,may,gpt-3.5-turbo,persona3,abnormal_CAPM,5066,5066.0,0,22,5063,5061,5041,5039
1,jun,gpt-3.5-turbo,persona3,abnormal_CAPM,3222,3222.0,0,40,3220,3220,3180,3180
1,jul,gpt-3.5-turbo,persona3,abnormal_CAPM,5216,5216.0,0,28,5210,5194,5182,5166
1,aug,gpt-3.5-turbo,persona3,abnormal_CAPM,4698,4698.0,0,27,4689,4684,4662,4657
1,sep,gpt-3.5-turbo,persona3,abnormal_CAPM,4130,4130.0,0,20,4122,4121,4102,4101
1,oct,gpt-3.5-turbo,persona3,abnormal_CAPM,6478,6478.0,0,41,6434,6433,6393,6392
1,nov,gpt-3.5-turbo,persona3,abnormal_CAPM,5264,5264.0,0,0,5216,5213,5216,5213
1,dec,gpt-3.5-turbo,persona3,abnormal_CAPM,3834,3834.0,0,0,3710,3709,3710,3709
1,jan,gpt-3.5-turbo,persona4,abnormal_CAPM,4294,4294.0,0,44,4288,4288,4244,4244
1,feb,gpt-3.5-turbo,persona4,abnormal_CAPM,4563,4563.0,0,0,4552,4551,4552,4551
1,mar,gpt-3.5-turbo,persona4,abnormal_CAPM,3519,3519.0,0,0,3490,3489,3490,3489
1,apr,gpt-3.5-turbo,persona4,abnormal_CAPM,4362,4362.0,0,25,4357,4267,4332,4242
1,may,gpt-3.5-turbo,persona4,abnormal_CAPM,5066,5066.0,1,22,5063,5061,5041,5039
1,jun,gpt-3.5-turbo,persona4,abnormal_CAPM,3222,3222.0,0,40,3220,3220,3180,3180
1,jul,gpt-3.5-turbo,persona4,abnormal_CAPM,5216,5216.0,1,28,5210,5194,5182,5166
1,aug,gpt-3.5-turbo,persona4,abnormal_CAPM,4698,4698.0,0,27,4689,4684,4662,4657
1,sep,gpt-3.5-turbo,persona4,abnormal_CAPM,4130,4130.0,0,20,4122,4121,4102,4101
1,oct,gpt-3.5-turbo,persona4,abnormal_CAPM,6478,6478.0,0,41,6434,6433,6393,6392
1,nov,gpt-3.5-turbo,persona4,abnormal_CAPM,5264,5264.0,0,0,5216,5213,5216,5213
1,dec,gpt-3.5-turbo,persona4,abnormal_CAPM,3834,3834.0,0,0,3710,3709,3710,3709
1,jan,gpt-3.5-turbo,cot1,abnormal_CAPM,4294,4294.0,0,44,4288,4288,4244,4244
1,feb,gpt-3.5-turbo,cot1,abnormal_CAPM,4563,4563.0,0,0,4552,4551,4552,4551
1,mar,gpt-3.5-turbo,cot1,abnormal_CAPM,3519,3519.0,0,0,3490,3489,3490,3489
1,apr,gpt-3.5-turbo,cot1,abnormal_CAPM,4362,4362.0,0,25,4357,4267,4332,4242
1,may,gpt-3.5-turbo,cot1,abnormal_CAPM,5066,5066.0,0,22,5063,5061,5041,5039
1,jun,gpt-3.5-turbo,cot1,abnormal_CAPM,3222,3222.0,0,40,3220,3220,3180,3180
1,jul,gpt-3.5-turbo,cot1,abnormal_CAPM,5216,5216.0,1,28,5210,5194,5182,5166
1,aug,gpt-3.5-turbo,cot1,abnormal_CAPM,4698,4698.0,1,27,4689,4684,4662,4657
1,sep,gpt-3.5-turbo,cot1,abnormal_CAPM,4130,4130.0,0,20,4122,4121,4102,4101
1,oct,gpt-3.5-turbo,cot1,abnormal_CAPM,6478,6478.0,0,41,6434,6433,6393,6392
1,nov,gpt-3.5-turbo,cot1,abnormal_CAPM,5264,5264.0,0,0,5216,5213,5216,5213
1,dec,gpt-3.5-turbo,cot1,abnormal_CAPM,3834,3834.0,0,0,3710,3709,3710,3709
1,jan,gpt-3.5-turbo,cot2,abnormal_CAPM,4294,4294.0,0,44,4288,4288,4244,4244
1,feb,gpt-3.5-turbo,cot2,abnormal_CAPM,4563,4563.0,0,0,4552,4551,4552,4551
1,mar,gpt-3.5-turbo,cot2,abnormal_CAPM,3519,3519.0,0,0,3490,3489,3490,3489
1,apr,gpt-3.5-turbo,cot2,abnormal_CAPM,4362,4362.0,0,25,4357,4267,4332,4242
1,may,gpt-3.5-turbo,cot2,abnormal_CAPM,5066,5066.0,0,22,5063,5061,5041,5039
1,jun,gpt-3.5-turbo,cot2,abnormal_CAPM,3222,3222.0,0,40,3220,3220,3180,3180
1,jul,gpt-3.5-turbo,cot2,abnormal_CAPM,5216,5216.0,0,28,5210,5194,5182,5166
1,aug,gpt-3.5-turbo,cot2,abnormal_CAPM,4698,4698.0,1,27,4689,4684,4662,4657
1,sep,gpt-3.5-turbo,cot2,abnormal_CAPM,4130,4130.0,0,20,4122,4121,4102,4101
1,oct,gpt-3.5-turbo,cot2,abnormal_CAPM,6478,6478.0,1,41,6434,6433,6393,6392
1,nov,gpt-3.5-turbo,cot2,abnormal_CAPM,5264,5264.0,0,0,5216,5213,5216,5213
1,dec,gpt-3.5-turbo,cot2,abnormal_CAPM,3834,3834.0,0,0,3710,3709,3710,3709
1,jan,gpt-3.5-turbo,cot3,abnormal_CAPM,4294,4294.0,2,44,4288,4288,4244,4244
1,feb,gpt-3.5-turbo,cot3,abnormal_CAPM,4563,4563.0,0,0,4552,4551,4552,4551
1,mar,gpt-3.5-turbo,cot3,abnormal_CAPM,3519,3519.0,0,0,3490,3489,3490,3489
1,apr,gpt-3.5-turbo,cot3,abnormal_CAPM,4362,4362.0,2,25,4357,4267,4332,4242
1,may,gpt-3.5-turbo,cot3,abnormal_CAPM,5066,5066.0,1,22,5063,5061,5041,5039
1,jun,gpt-3.5-turbo,cot3,abnormal_CAPM,3222,3222.0,1,40,3220,3220,3180,3180
1,jul,gpt-3.5-turbo,cot3,abnormal_CAPM,5216,5216.0,1,28,5210,5194,5182,5166
1,aug,gpt-3.5-turbo,cot3,abnormal_CAPM,4698,4698.0,3,27,4689,4684,4662,4657
1,sep,gpt-3.5-turbo,cot3,abnormal_CAPM,4130,4130.0,0,20,4122,4121,4102,4101
1,oct,gpt-3.5-turbo,cot3,abnormal_CAPM,6478,6478.0,6,41,6434,6433,6393,6392
1,nov,gpt-3.5-turbo,cot3,abnormal_CAPM,5264,5264.0,3,0,5216,5213,5216,5213
1,dec,gpt-3.5-turbo,cot3,abnormal_CAPM,3834,3834.0,1,0,3710,3709,3710,3709
1,jan,gpt-3.5-turbo,base_blanks,abnormal_FF3,4294,4294.0,0,44,4288,4288,4244,4244
1,feb,gpt-3.5-turbo,base_blanks,abnormal_FF3,4563,4563.0,0,0,4552,4551,4552,4551
1,mar,gpt-3.5-turbo,base_blanks,abnormal_FF3,3519,3519.0,0,0,3490,3489,3490,3489
1,apr,gpt-3.5-turbo,base_blanks,abnormal_FF3,4362,4362.0,0,25,4357,4267,4332,4242
1,may,gpt-3.5-turbo,base_blanks,abnormal_FF3,5066,5066.0,0,22,5063,5061,5041,5039
1,jun,gpt-3.5-turbo,base_blanks,abnormal_FF3,3222,3222.0,0,40,3220,3220,3180,3180
1,jul,gpt-3.5-turbo,base_blanks,abnormal_FF3,5216,5216.0,0,28,5210,5194,5182,5166
1,aug,gpt-3.5-turbo,base_blanks,abnormal_FF3,4698,4698.0,0,27,4689,4684,4662,4657
1,sep,gpt-3.5-turbo,base_blanks,abnormal_FF3,4130,4130.0,0,20,4122,4121,4102,4101
1,oct,gpt-3.5-turbo,base_blanks,abnormal_FF3,6478,6478.0,0,41,6434,6433,6393,6392
1,nov,gpt-3.5-turbo,base_blanks,abnormal_FF3,5264,5264.0,0,0,5216,5213,5216,5213
1,dec,gpt-3.5-turbo,base_blanks,abnormal_FF3,3834,3834.0,0,0,3710,3709,3710,3709
1,jan,gpt-3.5-turbo,base_json,abnormal_FF3,4294,4294.0,0,44,4288,4288,4244,4244
1,feb,gpt-3.5-turbo,base_json,abnormal_FF3,4563,4563.0,0,0,4552,4551,4552,4551
1,mar,gpt-3.5-turbo,base_json,abnormal_FF3,3519,3519.0,1,0,3490,3489,3490,3489
1,apr,gpt-3.5-turbo,base_json,abnormal_FF3,4362,4362.0,0,25,4357,4267,4332,4242
1,may,gpt-3.5-turbo,base_json,abnormal_FF3,5066,5066.0,0,22,5063,5061,5041,5039
1,jun,gpt-3.5-turbo,base_json,abnormal_FF3,3222,3222.0,0,40,3220,3220,3180,3180
1,jul,gpt-3.5-turbo,base_json,abnormal_FF3,5216,5216.0,1,28,5210,5194,5182,5166
1,aug,gpt-3.5-turbo,base_json,abnormal_FF3,4698,4698.0,2,27,4689,4684,4662,4657
1,sep,gpt-3.5-turbo,base_json,abnormal_FF3,4130,4130.0,0,20,4122,4121,4102,4101
1,oct,gpt-3.5-turbo,base_json,abnormal_FF3,6478,6478.0,1,41,6434,6433,6393,6392
1,nov,gpt-3.5-turbo,base_json,abnormal_FF3,5264,5264.0,1,0,5216,5213,5216,5213
1,dec,gpt-3.5-turbo,base_json,abnormal_FF3,3834,3834.0,0,0,3710,3709,3710,3709
1,jan,gpt-3.5-turbo,persona1,abnormal_FF3,4294,4294.0,0,44,4288,4288,4244,4244
1,feb,gpt-3.5-turbo,persona1,abnormal_FF3,4563,4563.0,1,0,4552,4551,4552,4551
1,mar,gpt-3.5-turbo,persona1,abnormal_FF3,3519,3519.0,1,0,3490,3489,3490,3489
1,apr,gpt-3.5-turbo,persona1,abnormal_FF3,4362,4362.0,0,25,4357,4267,4332,4242
1,may,gpt-3.5-turbo,persona1,abnormal_FF3,5066,5066.0,0,22,5063,5061,5041,5039
1,jun,gpt-3.5-turbo,persona1,abnormal_FF3,3222,3222.0,0,40,3220,3220,3180,3180
1,jul,gpt-3.5-turbo,persona1,abnormal_FF3,5216,5216.0,1,28,5210,5194,5182,5166
1,aug,gpt-3.5-turbo,persona1,abnormal_FF3,4698,4698.0,1,27,4689,4684,4662,4657
1,sep,gpt-3.5-turbo,persona1,abnormal_FF3,4130,4130.0,1,20,4122,4121,4102,4101
1,oct,gpt-3.5-turbo,persona1,abnormal_FF3,2713,6478.0,0,9,2697,2696,2688,2687
1,nov,gpt-3.5-turbo,persona1,abnormal_FF3,5264,5264.0,1,0,5216,5213,5216,5213
1,dec,gpt-3.5-turbo,persona1,abnormal_FF3,3834,3834.0,1,0,3710,3709,3710,3709
1,jan,gpt-3.5-turbo,persona2,abnormal_FF3,4294,4294.0,0,44,4288,4288,4244,4244
1,feb,gpt-3.5-turbo,persona2,abnormal_FF3,4563,4563.0,0,0,4552,4551,4552,4551
1,mar,gpt-3.5-turbo,persona2,abnormal_FF3,3519,3519.0,1,0,3490,3489,3490,3489
1,apr,gpt-3.5-turbo,persona2,abnormal_FF3,4362,4362.0,0,25,4357,4267,4332,4242
1,may,gpt-3.5-turbo,persona2,abnormal_FF3,5066,5066.0,1,22,5063,5061,5041,5039
1,jun,gpt-3.5-turbo,persona2,abnormal_FF3,3222,3222.0,0,40,3220,3220,3180,3180
1,jul,gpt-3.5-turbo,persona2,abnormal_FF3,5216,5216.0,0,28,5210,5194,5182,5166
1,aug,gpt-3.5-turbo,persona2,abnormal_FF3,4698,4698.0,0,27,4689,4684,4662,4657
1,sep,gpt-3.5-turbo,persona2,abnormal_FF3,4130,4130.0,1,20,4122,4121,4102,4101
1,oct,gpt-3.5-turbo,persona2,abnormal_FF3,6478,6478.0,0,41,6434,6433,6393,6392
1,nov,gpt-3.5-turbo,persona2,abnormal_FF3,5264,5264.0,0,0,5216,5213,5216,5213
1,dec,gpt-3.5-turbo,persona2,abnormal_FF3,3834,3834.0,0,0,3710,3709,3710,3709
1,jan,gpt-3.5-turbo,persona3,abnormal_FF3,4294,4294.0,0,44,4288,4288,4244,4244
